,year,Sum-CD,Sum-MWh, Weighted Annual_CD/MWh
0,2008,3884199.0,1107968.0,3.5056960128812387
1,2009,3335942.0,958455.3700000001,3.4805397355121497
2,2010,3386016.0,943175.9999999999,3.5900150131046598
3,2011,4152211.0,1275615.0,3.255065987778444
4,2012,3880150.0,1260703.0019999999,3.0777669235692042
5,2013,3783842.0,1165728.93,3.245902115511537
6,2014,3559912.0,1031943.0,3.449717668514637
7,2015,3754817.0,1098058.0,3.4195069841483785
8,2016,3346934.0,989816.0,3.381369870763859
9,2017,3467136.0,985208.0,3.519191886383383
10,2018,4009344.0,1150017.0,3.4863345498370895
11,2019,4189794.0,1254991.0,3.3385052163720697
12,2020,3364242.0,1006220.0,3.343445767327225
